Gravity,Framecount,Final Position,Minimum ΔV,
1.67,1,1,1,
1.67,2,3,2,
1.67,3,6,3,
1.67,4,10,4,
1.67,5,15,5,
1.67,6,21,6,
1.67,7,28,7,
1.67,8,36,8,
1.67,9,45,9,
1.67,10,55,10,
1.67,11,66,11,
1.67,12,78,12,
1.67,13,91,13,
1.67,14,105,14,
1.67,15,120,15,
1.67,16,136,16,
1.67,17,153,17,
1.67,18,171,18,
1.67,19,190,19,
1.67,20,210,20,
1.67,21,231,21,
1.67,22,253,22,
1.67,23,276,23,
1.67,24,300,24,
1.67,25,325,25,
1.67,26,351,26,
1.67,27,378,27,
1.67,28,406,28,
1.67,29,435,29,
1.67,30,465,30,
1.67,31,496,31,
1.67,32,528,32,
1.67,33,561,33,
1.67,34,595,34,
1.67,35,630,35,
1.67,36,666,36,(2DFM struggles beyond this point)
